4.5.2008: +15, 755, СВ 2м/с, +8, 754, СВ 2м/с
5.5.2008: +17, 752, З 1м/с, +11, 751, З 1м/с
6.5.2008: +19, 746, З 2м/с, +14, 744, З 2м/с
7.5.2008: +20, 742, З 2м/с, +16, 743, З 2м/с
8.5.2008: +20, 741, С 3м/с, +15, 743, С 3м/с
9.5.2008: +19, 746, З 2м/с, +12, 748, З 2м/с
10.5.2008: +20, 751, З 2м/с, +14, 752, З 2м/с
11.5.2008: +24, 748, В 3м/с, +19, 748, В 3м/с
12.5.2008: +24, 745, С 2м/с, +15, 745, С 2м/с
13.5.2008: +21, 744, ЮЗ 3м/с, +15, 744, ЮЗ 3м/с
14.5.2008: +12, 738, В 1м/с, +11, 736, В 1м/с
15.5.2008: +10, 741, ЮЗ 4м/с, +7, 744, ЮЗ 4м/с
16.5.2008: +13, 749, З 3м/с, +11, 750, З 3м/с
17.5.2008: +21, 749, ЮЗ 3м/с, +18, 749, ЮЗ 3м/с
18.5.2008: +22, 751, З 1м/с, +18, 752, З 1м/с
19.5.2008: +27, 752, ЮЗ 3м/с, +21, 752, ЮЗ 3м/с
20.5.2008: +29, 752, ЮЗ 2м/с, +21, 751, ЮЗ 2м/с
21.5.2008: +29, 750, ЮЗ 1м/с, +21, 750, ЮЗ 1м/с
22.5.2008: +29, 748, ЮЗ 1м/с, +19, 748, ЮЗ 1м/с
23.5.2008: +18, 751, С 4м/с, +17, 752, С 4м/с
24.5.2008: +20, 748, В 2м/с, +22, 745, В 2м/с
25.5.2008: +25, 744, З 2м/с, +20, 743, З 2м/с
26.5.2008: +22, 739, СЗ 2м/с, +16, 741, СЗ 2м/с
27.5.2008: +17, 744, С 2м/с, +15, 744, С 2м/с
28.5.2008: +10, 742, С 3м/с, +9, 741, С 3м/с
29.5.2008: +11, 738, СЗ 2м/с, +10, 739, СЗ 2м/с
30.5.2008: +19, 740, З 2м/с, +13, 741, З 2м/с
31.5.2008: +12, 740, СВ 1м/с, +12, 740, СВ 1м/с
1.6.2008: +16, 742, З 2м/с, +11, 744, З 2м/с
2.6.2008: +13, 747, З 1м/с, +11, 748, З 1м/с
3.6.2008: +19, 747, Ш, +12, 748, Ш
4.6.2008: +19, 746, З 1м/с, +16, 746, З 1м/с
5.6.2008: +16, 739, ЮЗ 3м/с, +12, 740, ЮЗ 3м/с
6.6.2008: +14, 743, СЗ 3м/с, +11, 743, СЗ 3м/с
7.6.2008: +12, 744, С 3м/с, +8, 746, С 3м/с
8.6.2008: +9, 749, С 3м/с, +7, 749, С 3м/с
9.6.2008: +14, 748, ЮЗ 4м/с, +14, 746, ЮЗ 4м/с
10.6.2008: +21, 741, ЮЗ 4м/с, +16, 741, ЮЗ 4м/с
11.6.2008: +20, 746, ЮЗ 2м/с, +16, 745, ЮЗ 2м/с
12.6.2008: +28, 747, З 2м/с, +23, 746, З 2м/с
13.6.2008: +27, 747, В 1м/с, +22, 745, В 1м/с
14.6.2008: +26, 745, С 1м/с, +22, 744, С 1м/с
15.6.2008: +27, 744, С 3м/с, +23, 744, С 3м/с
16.6.2008: +30, 745, ЮВ 1м/с, +24, 745, ЮВ 1м/с
17.6.2008: +25, 746, Ш, +22, 744, Ш
18.6.2008: +27, 744, З 1м/с, +23, 744, З 1м/с
19.6.2008: +27, 745, С 1м/с, +22, 746, С 1м/с
20.6.2008: +23, 747, СВ 3м/с, +21, 748, СВ 3м/с
21.6.2008: +26, 747, СВ 3м/с, +23, 746, СВ 3м/с
22.6.2008: +31, 742, В 3м/с, +26, 741, В 3м/с
23.6.2008: +25, 741, ЮЗ 2м/с, +21, 741, ЮЗ 2м/с
