02-06-2015, +28, 749, Ю 2м/с, +20, 749, Ю 2м/с
03-06-2015, +19, 748, З 2м/с, +18, 747, З 2м/с
04-06-2015, +28, 746, З 3м/с, +18, 746, З 3м/с
05-06-2015, +23, 747, СЗ 3м/с, +19, 747, СЗ 3м/с
06-06-2015, +19, 749, СЗ 3м/с, +13, 750, СЗ 3м/с
07-06-2015, +20, 752, СЗ 3м/с, +13, 752, СЗ 3м/с
08-06-2015, +26, 747, З 3м/с, +18, 747, З 3м/с
