02-07-2020, +26, 747, З 2м/с, +18, 749, З 2м/с
03-07-2020, +29, 751, З 2м/с, +21, 751, З 2м/с
04-07-2020, +32, 750, З 2м/с, +23, 749, З 2м/с
05-07-2020, +31, 747, З 2м/с, +27, 746, З 2м/с
06-07-2020, +34, 746, З 2м/с, +27, 746, З 2м/с
07-07-2020, +37, 746, З 2м/с, +31, 747, З 2м/с
08-07-2020, +35, 748, В 3м/с, +29, 748, В 3м/с
