6-12-2012, -1, 751, СВ 2м/с, -3, 751, СВ 2м/с
7-12-2012, +1, 749, В 3м/с, 0, 749, В 3м/с
8-12-2012, 0, 754, В 2м/с, 0, 756, В 2м/с
9-12-2012, -2, 761, В 2м/с, -3, 762, В 2м/с
10-12-2012, -6, 765, В 2м/с, -9, 766, В 2м/с
11-12-2012, -12, 766, В 2м/с, -13, 767, В 2м/с
12-12-2012, -11, 769, В 2м/с, -11, 769, В 2м/с
