18-07-2012, +19, 742, З 6м/с, +16, 745, З 6м/с
19-07-2012, +22, 746, ЮЗ 3м/с, +21, 745, ЮЗ 3м/с
20-07-2012, +23, 746, ЮЗ 3м/с, +22, 746, ЮЗ 3м/с
21-07-2012, +27, 746, ЮЗ 3м/с, +19, 748, ЮЗ 3м/с
22-07-2012, +26, 752, З 3м/с, +18, 754, З 3м/с
23-07-2012, +29, 753, ЮЗ 3м/с, +22, 752, ЮЗ 3м/с
24-07-2012, +23, 750, З 2м/с, +19, 750, З 2м/с
