11-04-2017, +14, 749, З 3м/с, +9, 748, З 3м/с
12-04-2017, +16, 744, З 3м/с, +13, 742, З 3м/с
13-04-2017, +10, 749, З 3м/с, +8, 749, З 3м/с
14-04-2017, +15, 742, Ю 2м/с, +9, 739, Ю 2м/с
15-04-2017, +8, 735, З 4м/с, +3, 738, З 4м/с
16-04-2017, +10, 744, З 4м/с, +9, 745, З 4м/с
17-04-2017, +14, 746, З 3м/с, +9, 748, З 3м/с
