13-08-2020, +24, 741, В 2м/с, +18, 741, В 2м/с
14-08-2020, +21, 740, ЮЗ 1м/с, +17, 740, ЮЗ 1м/с
15-08-2020, +18, 740, СЗ 3м/с, +14, 741, СЗ 3м/с
16-08-2020, +14, 743, СЗ 3м/с, +14, 743, СЗ 3м/с
17-08-2020, +17, 740, З 2м/с, +16, 740, З 2м/с
18-08-2020, +19, 743, СЗ 3м/с, +14, 744, СЗ 3м/с
19-08-2020, +19, 745, СЗ 3м/с, +13, 746, СЗ 3м/с
