13-11-2012, 0, 753, ЮЗ 4м/с, +1, 752, ЮЗ 4м/с
14-11-2012, +1, 748, СЗ 3м/с, 0, 748, СЗ 3м/с
15-11-2012, 0, 748, З 1м/с, -1, 746, З 1м/с
16-11-2012, +4, 737, ЮЗ 5м/с, +1, 740, ЮЗ 5м/с
17-11-2012, +1, 750, С 2м/с, 0, 754, С 2м/с
18-11-2012, 0, 758, З 2м/с, 0, 759, З 2м/с
19-11-2012, +1, 760, ЮЗ 2м/с, +1, 761, ЮЗ 2м/с
