03-09-2020, +20, 760, СВ 3м/с, +16, 761, СВ 3м/с
04-09-2020, +20, 758, В 2м/с, +12, 758, В 2м/с
05-09-2020, +21, 756, В 2м/с, +17, 755, В 2м/с
06-09-2020, +21, 756, В 2м/с, +17, 756, В 2м/с
07-09-2020, +25, 756, З 2м/с, +15, 756, З 2м/с
08-09-2020, +27, 754, З 2м/с, +21, 752, З 2м/с
09-09-2020, +12, 747, В 2м/с, +12, 746, В 2м/с
