18-08-2015, +18, 745, З 3м/с, +14, 747, З 3м/с
19-08-2015, +16, 749, СЗ 2м/с, +12, 749, СЗ 2м/с
20-08-2015, +16, 751, СЗ 2м/с, +13, 752, СЗ 2м/с
21-08-2015, +22, 753, СЗ 2м/с, +17, 754, СЗ 2м/с
22-08-2015, +26, 753, З 2м/с, +14, 752, З 2м/с
23-08-2015, +20, 749, С 2м/с, +13, 751, С 2м/с
24-08-2015, +16, 752, С 2м/с, +11, 753, С 2м/с
