01-12-2020, -7, 771, В 3м/с, -8, 771, В 3м/с
02-12-2020, -13, 770, В 1м/с, -15, 770, В 1м/с
03-12-2020, -12, 770, З 1м/с, -16, 770, З 1м/с
04-12-2020, -11, 770, З 1м/с, -16, 770, З 1м/с
05-12-2020, -12, 771, З 1м/с, -15, 771, З 1м/с
06-12-2020, -13, 772, З 1м/с, -13, 772, З 1м/с
07-12-2020, -6, 769, С 2м/с, -7, 768, С 2м/с
