29-9-2008, +14, 747, ЮЗ 4м/с, +12, 748, ЮЗ 4м/с
30-9-2008, +14, 749, ЮЗ 3м/с, +12, 750, ЮЗ 3м/с
1-10-2008, +15, 752, Ю 2м/с, +10, 753, Ю 2м/с
2-10-2008, +17, 753, Ю 1м/с, +11, 753, Ю 1м/с
3-10-2008, +20, 754, ЮЗ 3м/с, +15, 755, ЮЗ 3м/с
4-10-2008, +21, 756, Ю 2м/с, +14, 757, Ю 2м/с
5-10-2008, +21, 756, Ю 2м/с, +15, 756, Ю 2м/с
