20-6-2018, +27, 740, З 4м/с, +18, 743, З 4м/с
21-6-2018, +24, 743, З 6м/с, +20, 743, З 6м/с
22-6-2018, +25, 746, С 2м/с, +20, 747, С 2м/с
23-6-2018, +28, 747, СЗ 2м/с, +25, 748, СЗ 2м/с
24-6-2018, +31, 749, СЗ 3м/с, +23, 749, СЗ 3м/с
25-6-2018, +33, 751, СВ 1м/с, +25, 751, СВ 1м/с
26-6-2018, +32, 751, СЗ 1м/с, +25, 751, СЗ 1м/с
27-6-2018, +29, 749, СЗ 2м/с, +25, 749, СЗ 2м/с
28-6-2018, +28, 747, СЗ 3м/с, +23, 747, СЗ 3м/с
29-6-2018, +29, 745, С 1м/с, +25, 745, С 1м/с
30-6-2018, +31, 746, З 1м/с, +26, 747, З 1м/с
1-7-2018, +33, 749, В 2м/с, +29, 749, В 2м/с
2-7-2018, +34, 750, В 2м/с, +30, 749, В 2м/с
3-7-2018, +36, 744, В 5м/с, +29, 743, В 5м/с
4-7-2018, +30, 746, З 2м/с, +26, 744, З 2м/с
5-7-2018, +28, 742, З 4м/с, +23, 743, З 4м/с
6-7-2018, +26, 745, З 2м/с, +20, 745, З 2м/с
7-7-2018, +27, 743, ЮВ 2м/с, +24, 742, ЮВ 2м/с
8-7-2018, +29, 740, СЗ 2м/с, +21, 741, СЗ 2м/с
9-7-2018, +27, 743, З 4м/с, +23, 743, З 4м/с
10-7-2018, +26, 746, З 2м/с, +23, 746, З 2м/с
11-7-2018, +27, 746, З 3м/с, +22, 746, З 3м/с
12-7-2018, +27, 746, ЮЗ 2м/с, +23, 745, ЮЗ 2м/с
13-7-2018, +25, 744, СЗ 1м/с, +21, 744, СЗ 1м/с
14-7-2018, +28, 743, В 2м/с, +24, 743, В 2м/с
15-7-2018, +31, 743, СВ 1м/с, +27, 744, СВ 1м/с
16-7-2018, +28, 744, ЮВ 2м/с, +28, 743, ЮВ 2м/с
17-7-2018, +19, 742, В 3м/с, +20, 741, В 3м/с
18-7-2018, +23, 741, В 2м/с, +18, 742, В 2м/с
19-7-2018, +30, 743, В 1м/с, +25, 743, В 1м/с
20-7-2018, +29, 743, З 2м/с, +24, 743, З 2м/с
21-7-2018, +19, 744, В 3м/с, +19, 745, В 3м/с
22-7-2018, +22, 747, ЮВ 3м/с, +20, 748, ЮВ 3м/с
23-7-2018, +23, 749, В 4м/с, +21, 750, В 4м/с
24-7-2018, +28, 752, ЮВ 2м/с, +22, 752, ЮВ 2м/с
25-7-2018, +31, 753, В 2м/с, +27, 753, В 2м/с
26-7-2018, +33, 755, ЮВ 2м/с, +28, 755, ЮВ 2м/с
27-7-2018, +32, 755, ЮВ 2м/с, +28, 755, ЮВ 2м/с
28-7-2018, +32, 752, Ю 1м/с, +23, 752, Ю 1м/с
29-7-2018, +27, 751, С 2м/с, +18, 752, С 2м/с
30-7-2018, +19, 752, С 2м/с, +19, 752, С 2м/с
31-7-2018, +26, 753, В 3м/с, +22, 753, В 3м/с
1-8-2018, +29, 752, СВ 2м/с, +22, 752, СВ 2м/с
2-8-2018, +29, 749, З 2м/с, +23, 749, З 2м/с
3-8-2018, +29, 746, З 1м/с, +22, 745, З 1м/с
4-8-2018, +30, 744, ЮЗ 3м/с, +25, 744, ЮЗ 3м/с
5-8-2018, +31, 743, З 3м/с, +22, 743, З 3м/с
6-8-2018, +30, 743, З 3м/с, +25, 743, З 3м/с
7-8-2018, +27, 743, С 2м/с, +22, 743, С 2м/с
8-8-2018, +21, 743, СЗ 2м/с, +18, 746, СЗ 2м/с
9-8-2018, +19, 751, СЗ 4м/с, +15, 753, СЗ 4м/с
10-8-2018, +22, 755, СЗ 3м/с, +14, 754, СЗ 3м/с
11-8-2018, +29, 751, СЗ 3м/с, +21, 751, СЗ 3м/с
12-8-2018, +30, 749, З 2м/с, +20, 748, З 2м/с
13-8-2018, +30, 746, З 2м/с, +25, 745, З 2м/с
14-8-2018, +24, 746, СЗ 3м/с, +15, 749, СЗ 3м/с
15-8-2018, +25, 752, СЗ 1м/с, +18, 752, СЗ 1м/с
16-8-2018, +30, 749, З 3м/с, +24, 749, З 3м/с
17-8-2018, +21, 751, СВ 3м/с, +18, 752, СВ 3м/с
18-8-2018, +20, 752, С 3м/с, +16, 753, С 3м/с
19-8-2018, +20, 752, С 1м/с, +16, 752, С 1м/с
20-8-2018, +23, 750, ЮЗ 2м/с, +18, 749, ЮЗ 2м/с
21-8-2018, +29, 747, З 3м/с, +24, 746, З 3м/с
22-8-2018, +17, 744, СЗ 2м/с, +15, 745, СЗ 2м/с
23-8-2018, +19, 750, СЗ 3м/с, +14, 752, СЗ 3м/с
24-8-2018, +23, 751, З 4м/с, +18, 750, З 4м/с
25-8-2018, +23, 749, С 2м/с, +16, 751, С 2м/с
26-8-2018, +23, 752, СВ 1м/с, +18, 752, СВ 1м/с
27-8-2018, +25, 752, С 1м/с, +15, 752, С 1м/с
28-8-2018, +25, 754, ЮВ 1м/с, +15, 755, ЮВ 1м/с
29-8-2018, +27, 755, СЗ 1м/с, +18, 756, СЗ 1м/с
30-8-2018, +29, 756, З 2м/с, +18, 756, З 2м/с
31-8-2018, +29, 756, З 2м/с, +22, 757, З 2м/с
1-9-2018, +29, 758, ЮВ 2м/с, +24, 756, ЮВ 2м/с
2-9-2018, +25, 755, З 2м/с, +18, 756, З 2м/с
3-9-2018, +23, 756, СЗ 1м/с, +18, 757, СЗ 1м/с
4-9-2018, +22, 758, В 3м/с, +18, 757, В 3м/с
5-9-2018, +25, 756, В 1м/с, +20, 755, В 1м/с
6-9-2018, +24, 753, В 2м/с, +18, 753, В 2м/с
7-9-2018, +23, 753, СВ 3м/с, +19, 754, СВ 3м/с
8-9-2018, +23, 755, З 2м/с, +14, 755, З 2м/с
9-9-2018, +25, 754, ЮЗ 2м/с, +14, 755, ЮЗ 2м/с
10-9-2018, +23, 755, С 1м/с, +15, 757, С 1м/с
11-9-2018, +21, 758, В 2м/с, +16, 758, В 2м/с
12-9-2018, +23, 756, В 2м/с, +15, 755, В 2м/с
