1-1-2021, -9, 761, В 2м/с, -11, 761, В 2м/с
2-1-2021, -12, 761, В 3м/с, -11, 760, В 3м/с
3-1-2021, -6, 762, ЮВ 1м/с, -5, 764, ЮВ 1м/с
4-1-2021, -4, 767, ЮВ 1м/с, -3, 767, ЮВ 1м/с
5-1-2021, -6, 766, ЮЗ 2м/с, -9, 766, ЮЗ 2м/с
6-1-2021, -13, 764, В 3м/с, -15, 764, В 3м/с
7-1-2021, -12, 759, В 3м/с, -11, 758, В 3м/с
8-1-2021, -8, 755, В 4м/с, -9, 752, В 4м/с
9-1-2021, -3, 751, В 2м/с, -3, 748, В 2м/с
10-1-2021, -3, 741, З 3м/с, -6, 745, З 3м/с
11-1-2021, -15, 749, С 2м/с, -19, 750, С 2м/с
12-1-2021, -17, 754, В 2м/с, -18, 755, В 2м/с
13-1-2021, -17, 759, В 3м/с, -16, 758, В 3м/с
14-1-2021, -11, 749, В 3м/с, -10, 747, В 3м/с
15-1-2021, -6, 743, СВ 3м/с, -6, 740, СВ 3м/с
16-1-2021, -7, 740, ЮЗ 3м/с, -5, 739, ЮЗ 3м/с
17-1-2021, -14, 746, З 2м/с, -18, 749, З 2м/с
18-1-2021, -18, 751, З 1м/с, -17, 749, З 1м/с
19-1-2021, -16, 746, З 2м/с, -21, 747, З 2м/с
20-1-2021, -19, 749, З 2м/с, -21, 751, З 2м/с
21-1-2021, -14, 752, З 3м/с, -12, 752, З 3м/с
22-1-2021, -10, 750, З 2м/с, -14, 753, З 2м/с
23-1-2021, -9, 755, В 2м/с, -8, 754, В 2м/с
24-1-2021, +3, 757, ЮЗ 1м/с, 0, 758, ЮЗ 1м/с
25-1-2021, -2, 759, ЮВ 2м/с, -3, 759, ЮВ 2м/с
26-1-2021, -7, 758, ЮВ 2м/с, -7, 758, ЮВ 2м/с
27-1-2021, -7, 756, ЮВ 2м/с, -7, 755, ЮВ 2м/с
28-1-2021, -7, 751, В 3м/с, -7, 749, В 3м/с
29-1-2021, -3, 745, ЮВ 1м/с, -4, 744, ЮВ 1м/с
30-1-2021, -3, 746, В 3м/с, -2, 746, В 3м/с
31-1-2021, -3, 747, В 2м/с, -3, 744, В 2м/с
1-2-2021, -2, 752, З 2м/с, -4, 754, З 2м/с
2-2-2021, +1, 749, З 2м/с, -4, 751, З 2м/с
3-2-2021, -6, 751, В 2м/с, -5, 749, В 2м/с
4-2-2021, +2, 744, Ю 2м/с, +1, 744, Ю 2м/с
5-2-2021, +1, 735, ЮВ 3м/с, +1, 733, ЮВ 3м/с
6-2-2021, -10, 736, З 4м/с, -14, 738, З 4м/с
7-2-2021, -18, 740, З 3м/с, -19, 741, З 3м/с
8-2-2021, -19, 747, З 3м/с, -21, 751, З 3м/с
9-2-2021, -17, 757, З 2м/с, -17, 756, З 2м/с
10-2-2021, -15, 752, В 2м/с, -16, 753, В 2м/с
11-2-2021, -10, 752, В 3м/с, -9, 751, В 3м/с
12-2-2021, -6, 750, В 3м/с, -4, 749, В 3м/с
13-2-2021, -1, 743, ЮВ 2м/с, -3, 743, ЮВ 2м/с
14-2-2021, -10, 744, З 2м/с, -15, 747, З 2м/с
15-2-2021, -15, 750, З 2м/с, -19, 752, З 2м/с
16-2-2021, -16, 757, З 2м/с, -20, 758, З 2м/с
17-2-2021, -16, 756, В 2м/с, -19, 755, В 2м/с
18-2-2021, -13, 750, С 1м/с, -19, 752, С 1м/с
19-2-2021, -15, 750, З 3м/с, -18, 751, З 3м/с
20-2-2021, -15, 757, З 2м/с, -22, 758, З 2м/с
21-2-2021, -16, 757, Ш, -20, 757, Ш
22-2-2021, -17, 752, СЗ 2м/с, -22, 753, СЗ 2м/с
23-2-2021, -24, 756, СЗ 3м/с, -25, 759, СЗ 3м/с
24-2-2021, -19, 761, СЗ 3м/с, -22, 762, СЗ 3м/с
25-2-2021, -19, 757, ЮВ 1м/с, -17, 752, ЮВ 1м/с
26-2-2021, -13, 749, В 3м/с, -12, 743, В 3м/с
27-2-2021, +3, 735, ЮЗ 2м/с, -9, 737, ЮЗ 2м/с
28-2-2021, -12, 743, С 2м/с, -12, 746, С 2м/с
1-3-2021, -9, 752, СЗ 2м/с, -12, 752, СЗ 2м/с
2-3-2021, -3, 741, ЮЗ 3м/с, -2, 740, ЮЗ 3м/с
3-3-2021, 0, 740, СЗ 2м/с, -3, 743, СЗ 2м/с
4-3-2021, -2, 738, ЮЗ 2м/с, +1, 738, ЮЗ 2м/с
5-3-2021, -1, 741, СЗ 2м/с, -7, 745, СЗ 2м/с
6-3-2021, -4, 748, СЗ 1м/с, -7, 747, СЗ 1м/с
7-3-2021, -5, 745, ЮЗ 3м/с, -7, 743, ЮЗ 3м/с
8-3-2021, -1, 739, ЮЗ 3м/с, -2, 740, ЮЗ 3м/с
9-3-2021, -2, 743, СВ 1м/с, -7, 743, СВ 1м/с
10-3-2021, -12, 746, СЗ 3м/с, -16, 749, СЗ 3м/с
11-3-2021, -10, 752, З 4м/с, -14, 754, З 4м/с
12-3-2021, -4, 759, З 1м/с, -10, 761, З 1м/с
13-3-2021, -7, 762, ЮЗ 2м/с, -13, 761, ЮЗ 2м/с
14-3-2021, -5, 759, Ю 3м/с, -9, 759, Ю 3м/с
15-3-2021, -3, 758, ЮЗ 2м/с, -10, 759, ЮЗ 2м/с
16-3-2021, -3, 760, ЮВ 2м/с, -8, 759, ЮВ 2м/с
17-3-2021, -3, 754, В 4м/с, -5, 752, В 4м/с
18-3-2021, 0, 743, В 2м/с, -1, 743, В 2м/с
19-3-2021, 0, 738, С 2м/с, -2, 739, С 2м/с
20-3-2021, -1, 743, СЗ 2м/с, -2, 744, СЗ 2м/с
21-3-2021, 0, 743, ЮЗ 2м/с, -4, 744, ЮЗ 2м/с
22-3-2021, +1, 744, Ю 2м/с, 0, 745, Ю 2м/с
23-3-2021, +3, 747, Ю 2м/с, 0, 748, Ю 2м/с
24-3-2021, +2, 749, В 2м/с, 0, 749, В 2м/с
25-3-2021, +4, 748, СВ 3м/с, +2, 748, СВ 3м/с
26-3-2021, +6, 746, В 2м/с, -1, 746, В 2м/с
27-3-2021, +5, 746, СЗ 1м/с, +3, 749, СЗ 1м/с
28-3-2021, +4, 754, СВ 3м/с, +2, 756, СВ 3м/с
29-3-2021, +6, 761, В 2м/с, +3, 761, В 2м/с
30-3-2021, +9, 764, СЗ 1м/с, -2, 763, СЗ 1м/с
31-3-2021, +5, 759, ЮЗ 4м/с, +3, 757, ЮЗ 4м/с
1-4-2021, +6, 752, ЮЗ 3м/с, +6, 751, ЮЗ 3м/с
2-4-2021, +9, 748, Ю 1м/с, +2, 747, Ю 1м/с
3-4-2021, +7, 742, ЮВ 2м/с, +3, 741, ЮВ 2м/с
4-4-2021, +6, 742, СЗ 2м/с, +2, 744, СЗ 2м/с
5-4-2021, +8, 746, ЮЗ 2м/с, +4, 747, ЮЗ 2м/с
6-4-2021, +2, 743, В 4м/с, +2, 741, В 4м/с
7-4-2021, +8, 747, З 1м/с, +5, 749, З 1м/с
8-4-2021, +13, 747, ЮВ 2м/с, +9, 749, ЮВ 2м/с
9-4-2021, +5, 753, С 2м/с, +2, 755, С 2м/с
10-4-2021, +16, 753, В 2м/с, +15, 753, В 2м/с
11-4-2021, +19, 758, ЮВ 2м/с, +11, 759, ЮВ 2м/с
12-4-2021, +22, 762, В 1м/с, +18, 763, В 1м/с
13-4-2021, +23, 762, Ю 2м/с, +17, 761, Ю 2м/с
14-4-2021, +21, 757, ЮВ 3м/с, +17, 755, ЮВ 3м/с
15-4-2021, +24, 752, В 2м/с, +17, 752, В 2м/с
16-4-2021, +25, 751, С 1м/с, +17, 752, С 1м/с
17-4-2021, +22, 752, В 3м/с, +16, 752, В 3м/с
18-4-2021, +18, 751, СВ 3м/с, +14, 752, СВ 3м/с
19-4-2021, +12, 754, В 4м/с, +7, 756, В 4м/с
20-4-2021, +12, 758, ЮВ 4м/с, +8, 757, ЮВ 4м/с
21-4-2021, +3, 756, В 3м/с, +3, 756, В 3м/с
22-4-2021, +11, 756, ЮВ 3м/с, +6, 758, ЮВ 3м/с
23-4-2021, +15, 754, В 2м/с, +9, 753, В 2м/с
24-4-2021, +10, 746, ЮВ 1м/с, +9, 745, ЮВ 1м/с
25-4-2021, +8, 749, ЮЗ 3м/с, +8, 749, ЮЗ 3м/с
26-4-2021, +15, 749, З 3м/с, +9, 749, З 3м/с
27-4-2021, +8, 746, ЮЗ 2м/с, +7, 746, ЮЗ 2м/с
28-4-2021, +12, 748, ЮЗ 5м/с, +7, 749, ЮЗ 5м/с
29-4-2021, +14, 752, З 3м/с, +10, 753, З 3м/с
30-4-2021, +16, 755, З 2м/с, +14, 753, З 2м/с
1-5-2021, +16, 749, Ю 2м/с, +16, 747, Ю 2м/с
2-5-2021, +18, 751, З 2м/с, +14, 752, З 2м/с
3-5-2021, +24, 749, Ю 2м/с, +20, 747, Ю 2м/с
4-5-2021, +26, 740, ЮЗ 3м/с, +16, 740, ЮЗ 3м/с
5-5-2021, +11, 745, З 3м/с, +11, 747, З 3м/с
6-5-2021, +21, 751, З 3м/с, +17, 750, З 3м/с
7-5-2021, +22, 749, ЮЗ 3м/с, +18, 749, ЮЗ 3м/с
8-5-2021, +22, 749, З 2м/с, +18, 749, З 2м/с
9-5-2021, +25, 747, Ю 3м/с, +20, 748, Ю 3м/с
10-5-2021, +26, 750, В 2м/с, +21, 752, В 2м/с
11-5-2021, +25, 756, В 3м/с, +18, 757, В 3м/с
12-5-2021, +23, 756, ЮВ 3м/с, +20, 756, ЮВ 3м/с
13-5-2021, +28, 755, В 3м/с, +23, 754, В 3м/с
14-5-2021, +32, 753, Ю 4м/с, +26, 753, Ю 4м/с
15-5-2021, +33, 753, Ю 2м/с, +27, 752, Ю 2м/с
16-5-2021, +33, 751, ЮЗ 3м/с, +21, 751, ЮЗ 3м/с
17-5-2021, +33, 750, Ю 2м/с, +22, 750, Ю 2м/с
18-5-2021, +33, 749, СЗ 2м/с, +26, 748, СЗ 2м/с
19-5-2021, +31, 748, В 2м/с, +25, 748, В 2м/с
20-5-2021, +19, 748, В 2м/с, +18, 746, В 2м/с
21-5-2021, +26, 750, З 2м/с, +24, 750, З 2м/с
22-5-2021, +34, 746, ЮЗ 3м/с, +25, 748, ЮЗ 3м/с
23-5-2021, +35, 746, Ю 2м/с, +31, 746, Ю 2м/с
24-5-2021, +24, 749, СЗ 3м/с, +22, 749, СЗ 3м/с
25-5-2021, +24, 748, СЗ 3м/с, +16, 750, СЗ 3м/с
26-5-2021, +23, 752, С 2м/с, +18, 752, С 2м/с
27-5-2021, +24, 753, С 1м/с, +20, 752, С 1м/с
28-5-2021, +29, 748, СВ 2м/с, +25, 746, СВ 2м/с
29-5-2021, +26, 743, В 1м/с, +21, 742, В 1м/с
30-5-2021, +28, 741, З 2м/с, +21, 743, З 2м/с
31-5-2021, +16, 746, СВ 3м/с, +15, 746, СВ 3м/с
1-6-2021, +23, 746, СЗ 2м/с, +20, 746, СЗ 2м/с
2-6-2021, +21, 747, С 2м/с, +15, 748, С 2м/с
3-6-2021, +19, 746, СВ 2м/с, +19, 747, СВ 2м/с
4-6-2021, +13, 750, В 4м/с, +12, 752, В 4м/с
5-6-2021, +22, 752, В 3м/с, +17, 752, В 3м/с
6-6-2021, +25, 748, В 2м/с, +21, 748, В 2м/с
7-6-2021, +26, 746, В 2м/с, +17, 746, В 2м/с
8-6-2021, +28, 745, С 1м/с, +18, 745, С 1м/с
9-6-2021, +28, 744, СЗ 1м/с, +22, 745, СЗ 1м/с
10-6-2021, +22, 746, СВ 2м/с, +17, 748, СВ 2м/с
11-6-2021, +25, 747, В 2м/с, +17, 748, В 2м/с
12-6-2021, +21, 747, З 2м/с, +20, 747, З 2м/с
13-6-2021, +27, 748, ЮВ 1м/с, +22, 749, ЮВ 1м/с
14-6-2021, +29, 749, СВ 2м/с, +20, 749, СВ 2м/с
15-6-2021, +29, 747, В 2м/с, +25, 746, В 2м/с
16-6-2021, +29, 744, ЮЗ 3м/с, +25, 745, ЮЗ 3м/с
17-6-2021, +25, 749, СЗ 2м/с, +18, 752, СЗ 2м/с
18-6-2021, +22, 755, С 3м/с, +18, 757, С 3м/с
19-6-2021, +25, 756, ЮЗ 3м/с, +22, 755, ЮЗ 3м/с
20-6-2021, +31, 753, СЗ 2м/с, +23, 753, СЗ 2м/с
21-6-2021, +32, 754, З 2м/с, +23, 754, З 2м/с
22-6-2021, +33, 754, ЮЗ 2м/с, +25, 753, ЮЗ 2м/с
23-6-2021, +34, 752, СЗ 2м/с, +26, 752, СЗ 2м/с
24-6-2021, +26, 752, СЗ 1м/с, +24, 751, СЗ 1м/с
25-6-2021, +34, 749, ЮЗ 1м/с, +21, 749, ЮЗ 1м/с
26-6-2021, +35, 746, СЗ 2м/с, +27, 747, СЗ 2м/с
27-6-2021, +33, 747, З 1м/с, +29, 747, З 1м/с
28-6-2021, +34, 747, З 2м/с, +31, 746, З 2м/с
29-6-2021, +36, 743, В 3м/с, +30, 742, В 3м/с
30-6-2021, +31, 744, З 3м/с, +20, 744, З 3м/с
1-7-2021, +28, 744, З 2м/с, +22, 744, З 2м/с
2-7-2021, +26, 743, ЮЗ 1м/с, +22, 743, ЮЗ 1м/с
3-7-2021, +29, 743, СЗ 1м/с, +24, 743, СЗ 1м/с
4-7-2021, +27, 743, С 2м/с, +22, 744, С 2м/с
5-7-2021, +22, 746, СВ 2м/с, +21, 747, СВ 2м/с
6-7-2021, +26, 747, В 2м/с, +23, 749, В 2м/с
7-7-2021, +27, 752, СВ 3м/с, +23, 752, СВ 3м/с
8-7-2021, +29, 750, С 2м/с, +26, 750, С 2м/с
9-7-2021, +32, 749, С 2м/с, +27, 749, С 2м/с
10-7-2021, +33, 746, СЗ 2м/с, +23, 746, СЗ 2м/с
11-7-2021, +27, 746, С 2м/с, +22, 748, С 2м/с
12-7-2021, +26, 749, С 3м/с, +23, 750, С 3м/с
13-7-2021, +30, 748, СЗ 2м/с, +23, 748, СЗ 2м/с
14-7-2021, +30, 748, С 1м/с, +25, 748, С 1м/с
16-7-2021, +30, 744, В 1м/с, +21, 744, В 1м/с
17-7-2021, +32, 743, ЮЗ 1м/с, +27, 744, ЮЗ 1м/с
18-7-2021, +33, 743, З 2м/с, +28, 743, З 2м/с
19-7-2021, +34, 743, З 2м/с, +26, 743, З 2м/с
20-7-2021, +25, 742, З 5м/с, +22, 742, З 5м/с
21-7-2021, +30, 742, З 2м/с, +26, 741, З 2м/с
22-7-2021, +21, 739, СЗ 3м/с, +19, 740, СЗ 3м/с
23-7-2021, +24, 741, С 1м/с, +20, 742, С 1м/с
24-7-2021, +26, 744, СЗ 3м/с, +21, 747, СЗ 3м/с
25-7-2021, +23, 753, СЗ 2м/с, +20, 754, СЗ 2м/с
26-7-2021, +24, 755, З 2м/с, +18, 754, З 2м/с
27-7-2021, +27, 750, З 3м/с, +23, 749, З 3м/с
28-7-2021, +26, 749, СЗ 2м/с, +22, 749, СЗ 2м/с
29-7-2021, +23, 746, В 1м/с, +23, 744, В 1м/с
30-7-2021, +29, 743, З 3м/с, +24, 744, З 3м/с
31-7-2021, +30, 743, ЮЗ 3м/с, +25, 746, ЮЗ 3м/с
1-8-2021, +32, 748, ЮЗ 3м/с, +23, 748, ЮЗ 3м/с
2-8-2021, +34, 748, ЮЗ 2м/с, +27, 748, ЮЗ 2м/с
3-8-2021, +37, 746, ЮЗ 2м/с, +27, 746, ЮЗ 2м/с
4-8-2021, +34, 745, З 2м/с, +25, 746, З 2м/с
5-8-2021, +27, 749, СЗ 2м/с, +22, 749, СЗ 2м/с
6-8-2021, +28, 749, З 2м/с, +23, 750, З 2м/с
7-8-2021, +30, 750, В 1м/с, +25, 751, В 1м/с
8-8-2021, , , , +28, 753, Ш
9-8-2021, +30, 753, З 2м/с, +27, 752, З 2м/с
10-8-2021, +32, 751, СЗ 2м/с, +27, 751, СЗ 2м/с
11-8-2021, +30, 750, СВ 3м/с, +24, 751, СВ 3м/с
12-8-2021, +32, 752, ЮВ 2м/с, +26, 752, ЮВ 2м/с
13-8-2021, +32, 752, Ю 2м/с, +27, 752, Ю 2м/с
14-8-2021, +32, 751, Ю 2м/с, +23, 751, Ю 2м/с
15-8-2021, +28, 752, В 2м/с, +25, 751, В 2м/с
16-8-2021, +35, 750, ЮЗ 2м/с, +25, 751, ЮЗ 2м/с
17-8-2021, +34, 751, З 2м/с, +30, 750, З 2м/с
18-8-2021, +34, 749, З 2м/с, +25, 749, З 2м/с
19-8-2021, +38, 749, СЗ 2м/с, +32, 749, СЗ 2м/с
20-8-2021, +39, 749, ЮВ 1м/с, +31, 749, ЮВ 1м/с
21-8-2021, +38, 749, Ю 2м/с, +32, 749, Ю 2м/с
22-8-2021, +35, 747, ЮЗ 3м/с, +28, 749, ЮЗ 3м/с
23-8-2021, +29, 750, СЗ 2м/с, +21, 750, СЗ 2м/с
24-8-2021, +35, 746, В 1м/с, +29, 746, В 1м/с
25-8-2021, +26, 747, СЗ 4м/с, +21, 749, СЗ 4м/с
26-8-2021, +26, 750, С 2м/с, +20, 752, С 2м/с
27-8-2021, +25, 752, С 2м/с, +19, 752, С 2м/с
28-8-2021, +23, 751, СВ 2м/с, +19, 752, СВ 2м/с
29-8-2021, +22, 752, СЗ 2м/с, +17, 752, СЗ 2м/с
30-8-2021, +24, 753, З 2м/с, +16, 753, З 2м/с
31-8-2021, +28, 750, З 2м/с, +20, 749, З 2м/с
1-9-2021, +30, 744, ЮЗ 3м/с, +24, 742, ЮЗ 3м/с
2-9-2021, +17, 741, Ю 1м/с, +16, 739, Ю 1м/с
3-9-2021, +16, 734, З 1м/с, +13, 735, З 1м/с
4-9-2021, +14, 740, З 3м/с, +11, 743, З 3м/с
5-9-2021, +15, 749, ЮЗ 3м/с, +11, 751, ЮЗ 3м/с
6-9-2021, +13, 752, С 1м/с, +8, 754, С 1м/с
7-9-2021, +15, 755, З 3м/с, +11, 755, З 3м/с
8-9-2021, +17, 752, З 3м/с, +13, 752, З 3м/с
9-9-2021, +16, 746, З 4м/с, +17, 746, З 4м/с
10-9-2021, +16, 745, З 1м/с, +11, 748, З 1м/с
11-9-2021, +16, 752, С 2м/с, +8, 753, С 2м/с
12-9-2021, +21, 750, ЮЗ 2м/с, +16, 749, ЮЗ 2м/с
13-9-2021, +24, 747, З 2м/с, +20, 746, З 2м/с
14-9-2021, +25, 743, З 3м/с, +17, 743, З 3м/с
15-9-2021, +17, 743, З 4м/с, +11, 744, З 4м/с
16-9-2021, +13, 746, З 3м/с, +9, 747, З 3м/с
17-9-2021, +9, 749, З 2м/с, +8, 749, З 2м/с
18-9-2021, +11, 752, СЗ 3м/с, +7, 755, СЗ 3м/с
19-9-2021, +12, 756, С 1м/с, +7, 756, С 1м/с
20-9-2021, +13, 756, В 2м/с, +10, 756, В 2м/с
21-9-2021, +11, 752, В 4м/с, +11, 751, В 4м/с
22-9-2021, +10, 752, В 2м/с, +9, 752, В 2м/с
23-9-2021, +9, 753, В 3м/с, +10, 751, В 3м/с
24-9-2021, +8, 749, В 2м/с, +9, 746, В 2м/с
25-9-2021, +14, 744, С 1м/с, +9, 745, С 1м/с
26-9-2021, +15, 743, В 1м/с, +12, 741, В 1м/с
27-9-2021, +12, 744, В 3м/с, +9, 748, В 3м/с
28-9-2021, +10, 754, СВ 4м/с, +6, 756, СВ 4м/с
29-9-2021, +9, 758, СВ 3м/с, +8, 759, СВ 3м/с
30-9-2021, +10, 759, З 1м/с, +8, 760, З 1м/с
1-10-2021, +13, 761, З 2м/с, +10, 761, З 2м/с
2-10-2021, +11, 761, С 1м/с, +8, 761, С 1м/с
3-10-2021, +10, 761, С 1м/с, +9, 762, С 1м/с
4-10-2021, +11, 764, СВ 2м/с, +6, 766, СВ 2м/с
5-10-2021, +9, 770, Ю 1м/с, +6, 770, Ю 1м/с
6-10-2021, +9, 770, С 1м/с, +7, 769, С 1м/с
7-10-2021, +10, 770, З 2м/с, +3, 770, З 2м/с
8-10-2021, +13, 767, З 2м/с, +4, 765, З 2м/с
9-10-2021, +14, 761, С 2м/с, +6, 761, С 2м/с
10-10-2021, +14, 760, СЗ 1м/с, +5, 760, СЗ 1м/с
11-10-2021, +12, 759, З 1м/с, +4, 758, З 1м/с
12-10-2021, +14, 758, В 1м/с, +10, 758, В 1м/с
13-10-2021, +16, 758, ЮВ 2м/с, +9, 759, ЮВ 2м/с
14-10-2021, +14, 757, ЮВ 2м/с, +11, 755, ЮВ 2м/с
15-10-2021, +10, 754, З 3м/с, +7, 755, З 3м/с
16-10-2021, +11, 755, З 2м/с, +6, 755, З 2м/с
17-10-2021, +11, 752, Ш, +9, 750, Ш
18-10-2021, +9, 745, В 2м/с, +9, 743, В 2м/с
19-10-2021, +7, 746, СЗ 1м/с, +5, 746, СЗ 1м/с
20-10-2021, +4, 749, СЗ 3м/с, +3, 752, СЗ 3м/с
21-10-2021, +3, 744, ЮЗ 3м/с, , , 
24-10-2021, +9, 748, З 2м/с, +6, 749, З 2м/с
25-10-2021, +4, 752, СЗ 2м/с, +1, 756, СЗ 2м/с
26-10-2021, +3, 757, ЮЗ 3м/с, +2, 757, ЮЗ 3м/с
27-10-2021, +8, 753, ЮЗ 2м/с, +5, 752, ЮЗ 2м/с
28-10-2021, +8, 749, ЮЗ 2м/с, +4, 749, ЮЗ 2м/с
29-10-2021, +2, 758, СЗ 1м/с, +1, 759, СЗ 1м/с
30-10-2021, +7, 757, З 2м/с, +7, 758, З 2м/с
31-10-2021, +11, 756, З 2м/с, +7, 756, З 2м/с
1-11-2021, +10, 755, З 2м/с, +7, 754, З 2м/с
2-11-2021, +6, 758, В 2м/с, +6, 759, В 2м/с
3-11-2021, +2, 764, В 2м/с, -1, 765, В 2м/с
4-11-2021, +1, 767, В 2м/с, +2, 766, В 2м/с
5-11-2021, +2, 765, ЮВ 1м/с, +2, 764, ЮВ 1м/с
6-11-2021, +6, 756, Ю 2м/с, +5, 753, Ю 2м/с
7-11-2021, +6, 747, ЮЗ 3м/с, +4, 751, ЮЗ 3м/с
8-11-2021, +5, 750, ЮВ 2м/с, +6, 747, ЮВ 2м/с
9-11-2021, +8, 744, З 2м/с, +4, 746, З 2м/с
10-11-2021, -3, 757, СЗ 2м/с, -4, 760, СЗ 2м/с
11-11-2021, -1, 757, ЮЗ 2м/с, -1, 752, ЮЗ 2м/с
12-11-2021, 0, 747, Ю 2м/с, -1, 743, Ю 2м/с
13-11-2021, -1, 745, СЗ 2м/с, 0, 750, СЗ 2м/с
14-11-2021, 0, 757, СЗ 2м/с, -4, 757, СЗ 2м/с
15-11-2021, -5, 755, СВ 1м/с, -9, 759, СВ 1м/с
16-11-2021, -5, 756, ЮЗ 3м/с, -3, 752, ЮЗ 3м/с
17-11-2021, 0, 753, Ш, -1, 755, Ш
18-11-2021, 0, 758, ЮЗ 1м/с, -2, 755, ЮЗ 1м/с
19-11-2021, -3, 751, ЮВ 2м/с, -1, 747, ЮВ 2м/с
20-11-2021, 0, 734, Ю 2м/с, 0, 728, Ю 2м/с
