01-01-2012, -5, 753, В 2м/с, -5, 752, В 2м/с
02-01-2012, -6, 751, В 2м/с, -7, 750, В 2м/с
03-01-2012, -6, 752, В 1м/с, -9, 752, В 1м/с
04-01-2012, -11, 749, Ю 2м/с, -9, 749, Ю 2м/с
05-01-2012, -4, 749, Ю 2м/с, -2, 749, Ю 2м/с
06-01-2012, -1, 754, Ю 3м/с, -5, 755, Ю 3м/с
07-01-2012, -8, 756, ЮВ 2м/с, -9, 758, ЮВ 2м/с
08-01-2012, -10, 759, ЮВ 3м/с, -12, 759, ЮВ 3м/с
09-01-2012, -11, 758, В 4м/с, -12, 757, В 4м/с
10-01-2012, -11, 753, В 2м/с, -11, 752, В 2м/с
11-01-2012, -10, 750, ЮЗ 1м/с, -12, 750, ЮЗ 1м/с
12-01-2012, -10, 749, Ю 2м/с, -8, 748, Ю 2м/с
13-01-2012, -4, 747, Ю 2м/с, -4, 747, Ю 2м/с
14-01-2012, -3, 749, ЮВ 2м/с, -4, 750, ЮВ 2м/с
15-01-2012, -3, 754, В 2м/с, -4, 755, В 2м/с
16-01-2012, -6, 754, ЮВ 3м/с, -6, 753, ЮВ 3м/с
17-01-2012, -4, 754, ЮВ 4м/с, -4, 757, ЮВ 4м/с
18-01-2012, -7, 758, В 4м/с, -9, 758, В 4м/с
19-01-2012, -11, 762, В 2м/с, -14, 762, В 2м/с
20-01-2012, -13, 764, В 2м/с, -15, 764, В 2м/с
21-01-2012, -14, 769, ЮВ 2м/с, -15, 769, ЮВ 2м/с
22-01-2012, -12, 769, В 2м/с, -14, 769, В 2м/с
23-01-2012, -9, 767, В 2м/с, -10, 766, В 2м/с
24-01-2012, -6, 763, В 2м/с, -7, 762, В 2м/с
25-01-2012, -6, 764, В 2м/с, -9, 765, В 2м/с
26-01-2012, -8, 770, В 3м/с, -10, 771, В 3м/с
27-01-2012, -9, 769, СВ 3м/с, -10, 767, СВ 3м/с
28-01-2012, -10, 765, В 1м/с, -14, 766, В 1м/с
29-01-2012, -10, 767, СЗ 1м/с, -15, 766, СЗ 1м/с
30-01-2012, -16, 766, СВ 2м/с, -18, 767, СВ 2м/с
31-01-2012, -17, 767, В 4м/с, -19, 768, В 4м/с
01-02-2012, -19, 772, В 3м/с, -21, 773, В 3м/с
02-02-2012, -19, 772, В 2м/с, -21, 772, В 2м/с
03-02-2012, -19, 777, В 1м/с, -24, 779, В 1м/с
04-02-2012, -15, 776, С 2м/с, -20, 774, С 2м/с
05-02-2012, -14, 770, СВ 2м/с, -16, 770, СВ 2м/с
07-02-2012, -13, 769, В 2м/с, -14, 767, В 2м/с
08-02-2012, -13, 760, В 5м/с, -11, 758, В 5м/с
09-02-2012, -12, 756, В 3м/с, -16, 758, В 3м/с
10-02-2012, -17, 762, ЮВ 2м/с, -18, 762, ЮВ 2м/с
11-02-2012, -14, 763, ЮВ 2м/с, -16, 764, ЮВ 2м/с
12-02-2012, -17, 766, Ш, -25, 766, Ш
13-02-2012, -17, 764, ЮВ 1м/с, -18, 764, ЮВ 1м/с
