01-01-2019, -18, 758, В 3м/с, -15, 757, В 3м/с
02-01-2019, -6, 757, Ю 2м/с, -6, 757, Ю 2м/с
03-01-2019, -7, 758, В 3м/с, -8, 758, В 3м/с
04-01-2019, -9, 755, В 2м/с, -8, 753, В 2м/с
05-01-2019, -10, 744, В 3м/с, -5, 742, В 3м/с
06-01-2019, -8, 749, З 2м/с, -12, 752, З 2м/с
07-01-2019, -15, 753, СЗ 2м/с, -17, 753, СЗ 2м/с
08-01-2019, -17, 750, З 3м/с, -18, 750, З 3м/с
09-01-2019, -14, 754, З 2м/с, -12, 755, З 2м/с
10-01-2019, -9, 758, З 1м/с, -9, 758, З 1м/с
11-01-2019, -12, 754, В 2м/с, -12, 751, В 2м/с
12-01-2019, 0, 737, Ю 2м/с, 0, 735, Ю 2м/с
13-01-2019, -8, 740, ЮЗ 2м/с, -8, 740, ЮЗ 2м/с
14-01-2019, -9, 743, Ю 1м/с, -8, 745, Ю 1м/с
15-01-2019, -3, 744, Ю 4м/с, -2, 745, Ю 4м/с
16-01-2019, -4, 740, В 4м/с, -3, 739, В 4м/с
17-01-2019, -7, 746, СЗ 1м/с, -8, 749, СЗ 1м/с
18-01-2019, -8, 747, ЮЗ 3м/с, -6, 748, ЮЗ 3м/с
19-01-2019, -2, 746, Ю 1м/с, -1, 744, Ю 1м/с
20-01-2019, -7, 750, З 1м/с, -11, 752, З 1м/с
21-01-2019, -10, 750, Ю 2м/с, -9, 746, Ю 2м/с
22-01-2019, -11, 747, ЮЗ 2м/с, -15, 750, ЮЗ 2м/с
23-01-2019, -18, 756, З 1м/с, -21, 758, З 1м/с
24-01-2019, -20, 757, В 3м/с, -14, 749, В 3м/с
25-01-2019, -13, 753, СЗ 2м/с, -19, 757, СЗ 2м/с
26-01-2019, -16, 761, В 2м/с, -20, 761, В 2м/с
27-01-2019, -13, 755, В 5м/с, -13, 755, В 5м/с
28-01-2019, -11, 755, В 4м/с, -10, 752, В 4м/с
29-01-2019, -9, 751, СВ 1м/с, -9, 752, СВ 1м/с
30-01-2019, -6, 755, СЗ 1м/с, -13, 756, СЗ 1м/с
31-01-2019, -7, 758, В 2м/с, -7, 758, В 2м/с
01-02-2019, -8, 758, Ю 1м/с, -13, 758, Ю 1м/с
02-02-2019, -11, 757, З 1м/с, -12, 757, З 1м/с
03-02-2019, -10, 758, Ю 1м/с, -11, 758, Ю 1м/с
04-02-2019, -5, 758, Ш, -6, 760, Ш
05-02-2019, -11, 761, В 4м/с, -13, 761, В 4м/с
06-02-2019, -11, 761, В 2м/с, -11, 760, В 2м/с
07-02-2019, -8, 749, В 3м/с, -7, 748, В 3м/с
08-02-2019, -4, 756, СЗ 2м/с, -5, 757, СЗ 2м/с
09-02-2019, -6, 758, З 2м/с, -8, 758, З 2м/с
10-02-2019, -8, 757, ЮЗ 1м/с, -13, 757, ЮЗ 1м/с
11-02-2019, -8, 758, Ю 1м/с, -13, 759, Ю 1м/с
12-02-2019, -7, 760, Ю 1м/с, -14, 760, Ю 1м/с
13-02-2019, -10, 758, В 3м/с, -12, 756, В 3м/с
14-02-2019, -7, 752, ЮЗ 2м/с, -6, 753, ЮЗ 2м/с
15-02-2019, -5, 749, ЮЗ 2м/с, -6, 743, ЮЗ 2м/с
16-02-2019, +2, 740, З 2м/с, 0, 740, З 2м/с
17-02-2019, -1, 734, ЮЗ 2м/с, -2, 729, ЮЗ 2м/с
18-02-2019, -1, 729, С 2м/с, -6, 734, С 2м/с
19-02-2019, -10, 746, СЗ 4м/с, -10, 747, СЗ 4м/с
20-02-2019, -3, 745, ЮЗ 2м/с, -4, 744, ЮЗ 2м/с
21-02-2019, -5, 742, Ю 2м/с, -2, 740, Ю 2м/с
22-02-2019, -4, 741, ЮЗ 3м/с, -7, 746, ЮЗ 3м/с
23-02-2019, -7, 755, СЗ 2м/с, -9, 756, СЗ 2м/с
24-02-2019, -9, 755, З 2м/с, -11, 753, З 2м/с
25-02-2019, -8, 746, ЮВ 1м/с, -8, 743, ЮВ 1м/с
26-02-2019, -5, 739, В 3м/с, -6, 740, В 3м/с
27-02-2019, -4, 743, В 2м/с, -6, 742, В 2м/с
28-02-2019, -2, 734, ЮЗ 2м/с, -1, 732, ЮЗ 2м/с
01-03-2019, -2, 729, ЮВ 2м/с, -1, 728, ЮВ 2м/с
