01-01-2017, -4, 740, ЮЗ 2м/с, -4, 740, ЮЗ 2м/с
02-01-2017, -3, 736, ЮЗ 2м/с, -2, 735, ЮЗ 2м/с
03-01-2017, 0, 734, З 3м/с, 0, 735, З 3м/с
04-01-2017, -5, 741, СЗ 2м/с, -9, 746, СЗ 2м/с
05-01-2017, -6, 749, ЮВ 3м/с, -3, 747, ЮВ 3м/с
06-01-2017, -1, 752, ЮЗ 1м/с, -3, 754, ЮЗ 1м/с
07-01-2017, -3, 753, В 3м/с, -3, 751, В 3м/с
08-01-2017, -7, 754, СВ 1м/с, -8, 755, СВ 1м/с
09-01-2017, -10, 755, СЗ 1м/с, -10, 754, СЗ 1м/с
10-01-2017, -9, 754, З 1м/с, -9, 755, З 1м/с
11-01-2017, -7, 755, З 3м/с, -7, 755, З 3м/с
12-01-2017, -11, 755, ЮЗ 2м/с, -13, 755, ЮЗ 2м/с
13-01-2017, -7, 755, ЮВ 2м/с, -8, 756, ЮВ 2м/с
14-01-2017, -12, 760, ЮВ 1м/с, -14, 761, ЮВ 1м/с
15-01-2017, -14, 762, В 2м/с, -18, 762, В 2м/с
16-01-2017, -14, 763, ЮВ 2м/с, -15, 763, ЮВ 2м/с
17-01-2017, -12, 762, ЮВ 1м/с, -14, 761, ЮВ 1м/с
18-01-2017, -14, 760, З 2м/с, -13, 760, З 2м/с
19-01-2017, -9, 756, З 2м/с, -9, 753, З 2м/с
20-01-2017, -8, 741, З 3м/с, -5, 741, З 3м/с
21-01-2017, -9, 740, З 3м/с, -9, 739, З 3м/с
22-01-2017, -8, 742, СЗ 3м/с, -9, 742, СЗ 3м/с
23-01-2017, -7, 747, З 3м/с, -9, 747, З 3м/с
24-01-2017, -1, 740, З 3м/с, -2, 741, З 3м/с
25-01-2017, -6, 745, СВ 2м/с, -12, 747, СВ 2м/с
26-01-2017, -17, 748, СЗ 3м/с, -19, 747, СЗ 3м/с
27-01-2017, -16, 749, З 1м/с, -16, 749, З 1м/с
28-01-2017, -19, 755, В 3м/с, -22, 759, В 3м/с
29-01-2017, -15, 764, В 1м/с, -20, 765, В 1м/с
30-01-2017, -12, 763, З 2м/с, -16, 761, З 2м/с
31-01-2017, -10, 755, З 1м/с, -17, 754, З 1м/с
01-02-2017, -11, 746, З 2м/с, -12, 744, З 2м/с
02-02-2017, -8, 743, СЗ 3м/с, -9, 746, СЗ 3м/с
03-02-2017, -11, 752, СЗ 3м/с, -13, 754, СЗ 3м/с
04-02-2017, -13, 758, З 1м/с, -16, 757, З 1м/с
05-02-2017, -12, 746, В 5м/с, -11, 743, В 5м/с
06-02-2017, -16, 751, СЗ 3м/с, -21, 753, СЗ 3м/с
07-02-2017, -16, 756, СЗ 2м/с, -21, 757, СЗ 2м/с
08-02-2017, -15, 758, СЗ 4м/с, -16, 760, СЗ 4м/с
09-02-2017, -12, 760, С 2м/с, -21, 761, С 2м/с
10-02-2017, -7, 755, З 2м/с, -8, 755, З 2м/с
11-02-2017, -11, 759, СЗ 1м/с, -15, 760, СЗ 1м/с
12-02-2017, -10, 761, ЮЗ 2м/с, -12, 761, ЮЗ 2м/с
13-02-2017, -8, 761, ЮЗ 2м/с, -11, 758, ЮЗ 2м/с
14-02-2017, -7, 746, Ю 3м/с, -9, 746, Ю 3м/с
15-02-2017, -8, 746, В 3м/с, -9, 747, В 3м/с
16-02-2017, -8, 752, С 2м/с, -12, 755, С 2м/с
17-02-2017, -6, 755, ЮВ 1м/с, -14, 755, ЮВ 1м/с
