1-1-2013, -8, 750, З 1м/с, -10, 752, З 1м/с

2-1-2013, -10, 756, З 1м/с, -12, 755, З 1м/с

3-1-2013, -8, 751, В 2м/с, -5, 749, В 2м/с

4-1-2013, -1, 744, З 3м/с, -1, 745, З 3м/с

5-1-2013, -1, 746, З 2м/с, -3, 746, З 2м/с

6-1-2013, -5, 748, В 2м/с, -4, 748, В 2м/с

7-1-2013, -5, 752, В 2м/с, -6, 753, В 2м/с

8-1-2013, -8, 752, В 2м/с, -9, 751, В 2м/с

9-1-2013, -7, 745, С 3м/с, -10, 745, С 3м/с

10-1-2013, -10, 747, С 1м/с, -13, 747, С 1м/с

11-1-2013, -13, 750, Ш, -17, 751, Ш

12-1-2013, -16, 753, З 2м/с, -18, 753, З 2м/с

13-1-2013, -12, 746, З 2м/с, -12, 745, З 2м/с

14-1-2013, -10, 746, З 3м/с, -11, 747, З 3м/с

15-1-2013, -5, 749, З 2м/с, -8, 751, З 2м/с

16-1-2013, -7, 753, З 2м/с, -9, 753, З 2м/с

17-1-2013, -10, 753, ЮВ 3м/с, -10, 754, ЮВ 3м/с

18-1-2013, -7, 751, ЮВ 3м/с, -7, 749, ЮВ 3м/с

19-1-2013, -5, 746, Ю 2м/с, -4, 746, Ю 2м/с

20-1-2013, +1, 743, Ю 1м/с, +1, 743, Ю 1м/с

21-1-2013, -3, 742, Ю 1м/с, -3, 739, Ю 1м/с

22-1-2013, -9, 738, З 3м/с, -14, 741, З 3м/с

23-1-2013, -13, 745, З 2м/с, -15, 745, З 2м/с

24-1-2013, -11, 743, СВ 2м/с, -11, 741, СВ 2м/с

25-1-2013, -11, 743, З 3м/с, -15, 746, З 3м/с

26-1-2013, -12, 756, З 1м/с, -19, 758, З 1м/с

27-1-2013, -15, 760, З 2м/с, -19, 760, З 2м/с

28-1-2013, -14, 761, В 1м/с, -18, 762, В 1м/с

29-1-2013, -15, 759, В 2м/с, -18, 759, В 2м/с

30-1-2013, -13, 757, В 3м/с, -11, 756, В 3м/с

31-1-2013, -4, 749, В 4м/с, -5, 747, В 4м/с

1-2-2013, -5, 743, СЗ 1м/с, -12, 743, СЗ 1м/с

2-2-2013, -8, 747, В 1м/с, -8, 750, В 1м/с

3-2-2013, -3, 754, ЮВ 1м/с, -2, 755, ЮВ 1м/с

4-2-2013, -1, 749, ЮВ 3м/с, -2, 745, ЮВ 3м/с

5-2-2013, 0, 745, ЮЗ 3м/с, -1, 747, ЮЗ 3м/с

6-2-2013, -1, 754, З 2м/с, -5, 756, З 2м/с

7-2-2013, -4, 761, ЮВ 2м/с, -7, 761, ЮВ 2м/с

8-2-2013, -5, 763, ЮВ 2м/с, -7, 764, ЮВ 2м/с

9-2-2013, -5, 766, В 2м/с, -9, 766, В 2м/с

10-2-2013, -6, 764, ЮВ 2м/с, -7, 764, ЮВ 2м/с

11-2-2013, -6, 762, ЮВ 3м/с, -8, 762, ЮВ 3м/с

12-2-2013, -4, 761, ЮВ 2м/с, -7, 762, ЮВ 2м/с

13-2-2013, -4, 763, ЮВ 1м/с, -8, 763, ЮВ 1м/с

14-2-2013, -6, 765, В 2м/с, -9, 764, В 2м/с

15-2-2013, -5, 762, В 3м/с, -8, 761, В 3м/с

16-2-2013, -6, 757, В 4м/с, -6, 755, В 4м/с

