1-1-2017, -4, 740, ЮЗ 2м/с, -4, 740, ЮЗ 2м/с
2-1-2017, -3, 736, ЮЗ 2м/с, -2, 735, ЮЗ 2м/с
3-1-2017, 0, 734, З 3м/с, 0, 735, З 3м/с
4-1-2017, -5, 741, СЗ 2м/с, -9, 746, СЗ 2м/с
5-1-2017, -6, 749, ЮВ 3м/с, -3, 747, ЮВ 3м/с
6-1-2017, -1, 752, ЮЗ 1м/с, -3, 754, ЮЗ 1м/с
7-1-2017, -3, 753, В 3м/с, -3, 751, В 3м/с
8-1-2017, -7, 754, СВ 1м/с, -8, 755, СВ 1м/с
9-1-2017, -10, 755, СЗ 1м/с, -10, 754, СЗ 1м/с
10-1-2017, -9, 754, З 1м/с, -9, 755, З 1м/с
11-1-2017, -7, 755, З 3м/с, -7, 755, З 3м/с
12-1-2017, -11, 755, ЮЗ 2м/с, -13, 755, ЮЗ 2м/с
13-1-2017, -7, 755, ЮВ 2м/с, -8, 756, ЮВ 2м/с
14-1-2017, -12, 760, ЮВ 1м/с, -14, 761, ЮВ 1м/с
15-1-2017, -14, 762, В 2м/с, -18, 762, В 2м/с
16-1-2017, -14, 763, ЮВ 2м/с, -15, 763, ЮВ 2м/с
17-1-2017, -12, 762, ЮВ 1м/с, -14, 761, ЮВ 1м/с
18-1-2017, -14, 760, З 2м/с, -13, 760, З 2м/с
19-1-2017, -9, 756, З 2м/с, -9, 753, З 2м/с
20-1-2017, -8, 741, З 3м/с, -5, 741, З 3м/с
21-1-2017, -9, 740, З 3м/с, -9, 739, З 3м/с
22-1-2017, -8, 742, СЗ 3м/с, -9, 742, СЗ 3м/с
23-1-2017, -7, 747, З 3м/с, -9, 747, З 3м/с
24-1-2017, -1, 740, З 3м/с, -2, 741, З 3м/с
25-1-2017, -6, 745, СВ 2м/с, -12, 747, СВ 2м/с
26-1-2017, -17, 748, СЗ 3м/с, -19, 747, СЗ 3м/с
27-1-2017, -16, 749, З 1м/с, -16, 749, З 1м/с
28-1-2017, -19, 755, В 3м/с, -22, 759, В 3м/с
29-1-2017, -15, 764, В 1м/с, -20, 765, В 1м/с
30-1-2017, -12, 763, З 2м/с, -16, 761, З 2м/с
31-1-2017, -10, 755, З 1м/с, -17, 754, З 1м/с
1-2-2017, -11, 746, З 2м/с, -12, 744, З 2м/с
2-2-2017, -8, 743, СЗ 3м/с, -9, 746, СЗ 3м/с
3-2-2017, -11, 752, СЗ 3м/с, -13, 754, СЗ 3м/с
4-2-2017, -13, 758, З 1м/с, -16, 757, З 1м/с
5-2-2017, -12, 746, В 5м/с, -11, 743, В 5м/с
6-2-2017, -16, 751, СЗ 3м/с, -21, 753, СЗ 3м/с
7-2-2017, -16, 756, СЗ 2м/с, -21, 757, СЗ 2м/с
8-2-2017, -15, 758, СЗ 4м/с, -16, 760, СЗ 4м/с
9-2-2017, -12, 760, С 2м/с, -21, 761, С 2м/с
10-2-2017, -7, 755, З 2м/с, -8, 755, З 2м/с
11-2-2017, -11, 759, СЗ 1м/с, -15, 760, СЗ 1м/с
12-2-2017, -10, 761, ЮЗ 2м/с, -12, 761, ЮЗ 2м/с
13-2-2017, -8, 761, ЮЗ 2м/с, -11, 758, ЮЗ 2м/с
14-2-2017, -7, 746, Ю 3м/с, -9, 746, Ю 3м/с
15-2-2017, -8, 746, В 3м/с, -9, 747, В 3м/с
16-2-2017, -8, 752, С 2м/с, -12, 755, С 2м/с
17-2-2017, -6, 755, ЮВ 1м/с, -14, 755, ЮВ 1м/с
18-2-2017, -11, 746, ЮЗ 3м/с, -8, 745, ЮЗ 3м/с
19-2-2017, +2, 746, СЗ 3м/с, -2, 749, СЗ 3м/с
20-2-2017, +1, 743, ЮЗ 5м/с, +1, 743, ЮЗ 5м/с
21-2-2017, +2, 740, ЮЗ 3м/с, +1, 740, ЮЗ 3м/с
22-2-2017, +1, 741, ЮВ 3м/с, 0, 740, ЮВ 3м/с
23-2-2017, +1, 740, Ю 3м/с, 0, 739, Ю 3м/с
24-2-2017, +2, 738, ЮЗ 1м/с, +1, 740, ЮЗ 1м/с
25-2-2017, +2, 738, ЮЗ 2м/с, +1, 737, ЮЗ 2м/с
26-2-2017, 0, 743, З 3м/с, -3, 744, З 3м/с
27-2-2017, -2, 745, ЮЗ 3м/с, 0, 746, ЮЗ 3м/с
28-2-2017, +1, 752, СЗ 2м/с, -2, 755, СЗ 2м/с
1-3-2017, +1, 758, Ю 1м/с, -3, 758, Ю 1м/с
2-3-2017, -2, 758, ЮВ 3м/с, -3, 757, ЮВ 3м/с
3-3-2017, +1, 752, ЮВ 3м/с, 0, 752, ЮВ 3м/с
4-3-2017, +1, 752, Ю 3м/с, 0, 754, Ю 3м/с
5-3-2017, +4, 758, Ю 2м/с, -1, 758, Ю 2м/с
6-3-2017, +5, 756, ЮЗ 3м/с, +1, 757, ЮЗ 3м/с
7-3-2017, +1, 761, Ю 2м/с, -2, 762, Ю 2м/с
8-3-2017, -3, 765, В 1м/с, -3, 766, В 1м/с
9-3-2017, -3, 766, В 2м/с, -5, 766, В 2м/с
10-3-2017, -5, 765, ЮВ 2м/с, -6, 764, ЮВ 2м/с
11-3-2017, -2, 764, ЮВ 2м/с, -7, 763, ЮВ 2м/с
12-3-2017, -2, 762, ЮВ 1м/с, -6, 762, ЮВ 1м/с
13-3-2017, +1, 760, ЮЗ 2м/с, -4, 759, ЮЗ 2м/с
14-3-2017, +3, 758, ЮЗ 1м/с, -7, 758, ЮЗ 1м/с
15-3-2017, -1, 757, В 2м/с, -4, 755, В 2м/с
16-3-2017, 0, 754, В 4м/с, -4, 754, В 4м/с
17-3-2017, -2, 755, В 4м/с, -3, 754, В 4м/с
18-3-2017, -4, 752, ЮВ 2м/с, -5, 752, ЮВ 2м/с
19-3-2017, -4, 752, ЮВ 3м/с, -5, 752, ЮВ 3м/с
20-3-2017, 0, 752, В 3м/с, -4, 752, В 3м/с
21-3-2017, +2, 752, В 4м/с, 0, 752, В 4м/с
22-3-2017, +2, 754, В 4м/с, 0, 755, В 4м/с
23-3-2017, +1, 755, Ю 1м/с, 0, 754, Ю 1м/с
24-3-2017, +5, 754, З 3м/с, +2, 753, З 3м/с
25-3-2017, +3, 740, ЮЗ 3м/с, +1, 742, ЮЗ 3м/с
26-3-2017, +2, 746, З 3м/с, +1, 746, З 3м/с
27-3-2017, +3, 739, Ю 3м/с, +1, 737, Ю 3м/с
28-3-2017, +3, 733, З 3м/с, +1, 733, З 3м/с
29-3-2017, -1, 735, СЗ 7м/с, -3, 739, СЗ 7м/с
30-3-2017, -1, 745, СЗ 1м/с, -3, 747, СЗ 1м/с
31-3-2017, -2, 755, СЗ 3м/с, -4, 756, СЗ 3м/с
1-4-2017, 0, 755, ЮЗ 4м/с, -2, 755, ЮЗ 4м/с
2-4-2017, 0, 753, ЮЗ 2м/с, 0, 750, ЮЗ 2м/с
3-4-2017, +3, 751, СВ 2м/с, +1, 753, СВ 2м/с
4-4-2017, +2, 761, СВ 2м/с, -3, 761, СВ 2м/с
5-4-2017, +4, 759, З 3м/с, +3, 757, З 3м/с
6-4-2017, +7, 754, ЮЗ 2м/с, +3, 753, ЮЗ 2м/с
7-4-2017, +9, 750, ЮВ 2м/с, +7, 750, ЮВ 2м/с
8-4-2017, +8, 748, ЮВ 3м/с, +7, 747, ЮВ 3м/с
9-4-2017, +14, 747, З 1м/с, +6, 750, З 1м/с
10-4-2017, +7, 751, СЗ 2м/с, +4, 751, СЗ 2м/с
11-4-2017, +14, 749, З 3м/с, +9, 748, З 3м/с
12-4-2017, +16, 744, З 3м/с, +13, 742, З 3м/с
13-4-2017, +10, 749, З 3м/с, +8, 749, З 3м/с
14-4-2017, +15, 742, Ю 2м/с, +9, 739, Ю 2м/с
15-4-2017, +8, 735, З 4м/с, +3, 738, З 4м/с
16-4-2017, +10, 744, З 4м/с, +9, 745, З 4м/с
17-4-2017, +14, 746, З 3м/с, +9, 748, З 3м/с
18-4-2017, +4, 753, С 1м/с, +2, 753, С 1м/с
19-4-2017, +5, 749, СВ 3м/с, +2, 748, СВ 3м/с
20-4-2017, +2, 744, З 4м/с, 0, 748, З 4м/с
21-4-2017, +6, 750, СЗ 3м/с, +4, 749, СЗ 3м/с
22-4-2017, 0, 740, В 4м/с, 0, 737, В 4м/с
23-4-2017, +13, 744, ЮЗ 3м/с, +10, 745, ЮЗ 3м/с
24-4-2017, +9, 734, ЮВ 2м/с, +7, 736, ЮВ 2м/с
25-4-2017, +11, 749, ЮЗ 3м/с, +7, 752, ЮЗ 3м/с
26-4-2017, +13, 757, З 2м/с, +11, 758, З 2м/с
27-4-2017, +17, 758, З 6м/с, +14, 758, З 6м/с
28-4-2017, +20, 758, ЮЗ 4м/с, +17, 758, ЮЗ 4м/с
29-4-2017, +23, 759, З 3м/с, +19, 759, З 3м/с
30-4-2017, +25, 761, З 3м/с, +17, 760, З 3м/с
1-5-2017, +26, 760, ЮВ 3м/с, +21, 759, ЮВ 3м/с
2-5-2017, +25, 757, Ю 3м/с, +19, 755, Ю 3м/с
3-5-2017, +27, 749, ЮЗ 4м/с, +18, 749, ЮЗ 4м/с
4-5-2017, +17, 750, С 3м/с, +11, 751, С 3м/с
5-5-2017, +10, 749, СЗ 4м/с, +7, 748, СЗ 4м/с
6-5-2017, +17, 740, З 4м/с, +14, 740, З 4м/с
